condition,dataset,experiment,latency_mean_seconds,latency_p95_seconds,model,quality,records,source_macro_accuracy,status,strict_accuracy,value_exact_accuracy,value_f1,value_fn,value_fp,value_precision,value_recall,value_tp
correct,set_b100,quality,0.8713197986083105,1.4438687460497022,qwen3vl8b,clean,400,0.2925,pass,0.2925,0.21,0.5344352617079889,154,184,0.5132275132275133,0.5574712643678161,194
shuffled,set_b100,quality,0.8382841349602677,1.437563644722104,qwen3vl8b,clean,400,0.24,pass,0.24,0.0,0.0025673940949935813,347,430,0.002320185614849188,0.0028735632183908046,1
correct,set_b100,quality,0.9352866192092187,1.4482614686712623,qwen3vl8b,jpeg_q70,400,0.3,pass,0.3,0.21,0.5383542538354253,155,176,0.5230352303523035,0.5545977011494253,193
shuffled,set_b100,quality,0.9116480555175803,1.4462341545149684,qwen3vl8b,jpeg_q70,400,0.2425,pass,0.2425,0.0,0.002677376171352075,347,398,0.002506265664160401,0.0028735632183908046,1
correct,set_b100,quality,0.9361271504941396,1.5324205979704857,qwen3vl8b,blur_r1,400,0.31,pass,0.31,0.22,0.5686546463245492,143,168,0.5495978552278821,0.5890804597701149,205
shuffled,set_b100,quality,0.839469499567058,1.3371660001575947,qwen3vl8b,blur_r1,400,0.245,pass,0.245,0.0,0.0030864197530864196,347,299,0.0033333333333333335,0.0028735632183908046,1
correct,set_b100,quality,0.8564068675669841,1.449455446563661,qwen3vl8b,downsample_s075,400,0.2975,pass,0.2975,0.21,0.5202797202797202,162,181,0.5068119891008175,0.5344827586206896,186
shuffled,set_b100,quality,0.9077951829275116,1.3379641631618142,qwen3vl8b,downsample_s075,400,0.235,pass,0.235,0.0,0.002828854314002829,347,358,0.002785515320334262,0.0028735632183908046,1
correct,seed29_strict65,quality,0.8282901370575508,1.3566649239510298,qwen3vl8b,clean,260,0.2923076923076923,pass,0.2923076923076923,0.23076923076923078,0.6014319809069213,98,69,0.6461538461538462,0.5625,126
shuffled,seed29_strict65,quality,0.7842071889828031,1.3189965886995196,qwen3vl8b,clean,260,0.24615384615384617,pass,0.24615384615384617,0.0,0.015267175572519083,221,166,0.01775147928994083,0.013392857142857142,3
correct,seed29_strict65,quality,0.8712155034908882,1.3719223467633128,qwen3vl8b,jpeg_q70,260,0.3038461538461538,pass,0.3038461538461538,0.23076923076923078,0.6121495327102804,93,73,0.6421568627450981,0.5848214285714286,131
shuffled,seed29_strict65,quality,0.7936125637139552,1.356905434280634,qwen3vl8b,jpeg_q70,260,0.23846153846153847,pass,0.23846153846153847,0.0,0.014598540145985401,221,184,0.016042780748663103,0.013392857142857142,3
correct,seed29_strict65,quality,0.8324309853048852,1.3879957227036357,qwen3vl8b,blur_r1,260,0.3,pass,0.3,0.2,0.5866050808314087,97,82,0.6076555023923444,0.5669642857142857,127
shuffled,seed29_strict65,quality,0.7851953223276024,1.3648230517283082,qwen3vl8b,blur_r1,260,0.25,pass,0.25,0.0,0.015306122448979591,221,165,0.017857142857142856,0.013392857142857142,3
correct,seed29_strict65,quality,0.8288816289904599,1.3639547768980265,qwen3vl8b,downsample_s075,260,0.3,pass,0.3,0.23076923076923078,0.6067961165048543,99,63,0.6648936170212766,0.5580357142857143,125
shuffled,seed29_strict65,quality,0.828546769802387,1.3560583628714085,qwen3vl8b,downsample_s075,260,0.23846153846153847,pass,0.23846153846153847,0.0,0.015267175572519083,221,166,0.01775147928994083,0.013392857142857142,3
correct,seed31_strict65,quality,0.7809757185956606,1.512558363378048,qwen3vl8b,clean,260,0.25384615384615383,pass,0.25384615384615383,0.2153846153846154,0.5967365967365967,76,97,0.5688888888888889,0.6274509803921569,128
shuffled,seed31_strict65,quality,0.8284448582535753,1.292882394976914,qwen3vl8b,clean,260,0.2,pass,0.2,0.0,0.024630541871921183,199,197,0.024752475247524754,0.024509803921568627,5
correct,seed31_strict65,quality,0.782735407524384,1.4893107004463673,qwen3vl8b,jpeg_q70,260,0.24615384615384617,pass,0.24615384615384617,0.23076923076923078,0.6336633663366337,76,72,0.64,0.6274509803921569,128
shuffled,seed31_strict65,quality,0.8361893458435169,1.4263315601274371,qwen3vl8b,jpeg_q70,260,0.2,pass,0.2,0.0,0.023980815347721823,199,208,0.023474178403755867,0.024509803921568627,5
correct,seed31_strict65,quality,0.8126755847595633,1.596213142387569,qwen3vl8b,blur_r1,260,0.23846153846153847,pass,0.23846153846153847,0.16923076923076924,0.6243654822335025,81,67,0.6473684210526316,0.6029411764705882,123
shuffled,seed31_strict65,quality,0.9018665323857791,1.4194748252630234,qwen3vl8b,blur_r1,260,0.2076923076923077,pass,0.2076923076923077,0.0,0.024691358024691357,199,196,0.024875621890547265,0.024509803921568627,5
correct,seed31_strict65,quality,0.8156603520556998,1.5145424865186214,qwen3vl8b,downsample_s075,260,0.25769230769230766,pass,0.25769230769230766,0.2,0.583732057416268,82,92,0.5700934579439252,0.5980392156862745,122
shuffled,seed31_strict65,quality,0.8054741830171014,1.2865254068747163,qwen3vl8b,downsample_s075,260,0.2,pass,0.2,0.0,0.0273972602739726,199,156,0.031055900621118012,0.024509803921568627,5
correct,set_b100,internvl_budget54,4.515482637719251,5.8513125870376825,internvl35_8b_budget54,,400,0.16,pass,0.16,0.17,0.4583901773533424,180,217,0.43636363636363634,0.4827586206896552,168
shuffled,set_b100,internvl_budget54,4.384396845288575,5.292022095061839,internvl35_8b_budget54,,400,0.1175,pass,0.1175,0.0,0.00333889816360601,347,250,0.00398406374501992,0.0028735632183908046,1
text_only,set_b100,internvl_budget54,1.3124983276776039,13.464584208093584,internvl35_8b_budget54,,400,0.145,pass,0.145,0.0,0.0,348,3356,0.0,0.0,0
correct,seed29_strict65,internvl_budget54,4.387088439409406,5.325413446873426,internvl35_8b_budget54,,260,0.08846153846153847,pass,0.08846153846153847,0.13846153846153847,0.5087281795511222,122,75,0.576271186440678,0.45535714285714285,102
shuffled,seed29_strict65,internvl_budget54,4.365289038416141,5.484837627969682,internvl35_8b_budget54,,260,0.09230769230769231,pass,0.09230769230769231,0.0,0.015503875968992248,221,160,0.018404907975460124,0.013392857142857142,3
text_only,seed29_strict65,internvl_budget54,1.667382706092814,14.173875847831368,internvl35_8b_budget54,,260,0.1576923076923077,pass,0.1576923076923077,0.0,0.0,224,2918,0.0,0.0,0
correct,seed31_strict65,internvl_budget54,4.3943671811049665,5.31824008654803,internvl35_8b_budget54,,260,0.11538461538461539,pass,0.11538461538461539,0.12307692307692308,0.510989010989011,111,67,0.58125,0.45588235294117646,93
shuffled,seed31_strict65,internvl_budget54,4.3860986094921826,5.388164524920285,internvl35_8b_budget54,,260,0.09230769230769231,pass,0.09230769230769231,0.015384615384615385,0.025839793281653745,199,178,0.0273224043715847,0.024509803921568627,5
text_only,seed31_strict65,internvl_budget54,1.19701565183126,13.317162234336138,internvl35_8b_budget54,,260,0.12307692307692308,pass,0.12307692307692308,0.0,0.0,204,1981,0.0,0.0,0
