candidate_count,dataset,error_pattern,exact,f1,false_candidate_count,fn,fp,instance_id,method,missed_tag_count,precision,prediction_tags,recall,recovered_tag_count,source_id,tp,truth_count,truth_tags
2,set_b,false_candidates_without_recovery,0,0.0,2,3,2,pidqa-016b963d9bc57879,qwen,3,0.0,sdl-197;sdl-732,0.0,0,pidqa-sheet-361,0,3,sdl 197;sdl 389;sdl 732
1,set_b,partial_recovery_no_false_candidate,0,0.6666666666666666,0,1,0,pidqa-02b1077698718c87,qwen,1,1.0,av-71716,0.5,1,pidqa-sheet-181,1,2,av-53306;av-71716
6,set_b,partial_recovery_no_false_candidate,0,0.8571428571428571,0,2,0,pidqa-05367f98fc2978c5,qwen,2,1.0,cs-34;cs-50;cs-55;cs-80;cs-81;cs-86,0.75,6,pidqa-sheet-122,6,8,cs-01;cs-34;cs-50;cs-55;cs-80;cs-81;cs-83;cs-86
1,set_b,exact_set,1,1.0,0,0,0,pidqa-07d2d7d2ed61317a,qwen,0,1.0,op-14149,1.0,1,pidqa-sheet-350,1,1,op-14149
1,set_b,partial_recovery_no_false_candidate,0,0.25,0,6,0,pidqa-09a47d8256ca9af4,qwen,6,1.0,op-22494,0.14285714285714285,1,pidqa-sheet-378,1,7,op-22494;op-40540;op-42508;op-53551;op-54531;op-67900;op-83219
3,set_b,partial_recovery_no_false_candidate,0,0.5454545454545454,0,5,0,pidqa-09d5966f710213eb,qwen,5,1.0,gh-33873;gh-40059;gh-97223,0.375,3,pidqa-sheet-148,3,8,gh-33873;gh-40059;gh-41949;gh-48478;gh-49695;gh-77306;gh-85039;gh-97223
1,set_b,false_candidates_without_recovery,0,0.0,1,6,1,pidqa-0af6234429690fb1,qwen,6,0.0,ddl-329,0.0,0,pidqa-sheet-209,0,6,ddl 187;ddl 254;ddl 329;ddl 637;ddl 904;ddl 967
4,set_b,partial_recovery_no_false_candidate,0,0.8888888888888888,0,1,0,pidqa-0c327050b1b6428b,qwen,1,1.0,ddl 443;ddl 605;ddl 859;ddl 916,0.8,4,pidqa-sheet-360,4,5,ddl 443;ddl 605;ddl 847;ddl 859;ddl 916
3,set_b,false_candidates_without_recovery,0,0.0,3,3,3,pidqa-0df73136608ca96a,qwen,3,0.0,ins-19°c;ins-25°c;ins-51°c,0.0,0,pidqa-sheet-439,0,3,ins ( -19°c );ins ( -51°c );ins ( 25°c )
6,set_b,partial_recovery_with_false_candidates,0,0.36363636363636365,4,3,4,pidqa-0e1e010e50dbb0a5,qwen,3,0.3333333333333333,op-08866;op-34891;op-48831;op-52394;op-53869;op-88639,0.4,2,pidqa-sheet-070,2,5,op-04473;op-24050;op-36931;op-52394;op-53869
